Individual	Parent1	Parent2	Pedigree
04KL108370	Syngenta_S21-A1	M815869	( 04KL108370 ( Syngenta_S21-A1 , M815869 ( 13404BB2 , Asgrow_A2722 ) ) )
04KL108888	M815869	CL575743	( 04KL108888 ( M815869 ( 13404BB2 , Asgrow_A2722 ) , CL575743 ( Syngenta_S08-80 , Asgrow_A1900 ) ) )
04KL109914	M709710	MT802867	( 04KL109914 ( M709710 , MT802867 ( Syngenta_S22-C3 , Asgrow_A1900 ) ) )
04KL109914BC2	04KL109914	04KL109914BC1	( 04KL109914BC2 ( 04KL109914 ( M709710 , MT802867 ( Syngenta_S22-C3 , Asgrow_A1900 ) ) , 04KL109914BC1 ) )
04KL109914BC3	04KL109914	04KL109914BC2	( 04KL109914BC3 ( 04KL109914 ( M709710 , MT802867 ( Syngenta_S22-C3 , Asgrow_A1900 ) ) ( M709710 , MT802867 ( Syngenta_S22-C3 , Asgrow_A1900 ) ( Syngenta_S22-C3 , Asgrow_A1900 ) ) , 04KL109914BC2 ( 04KL109914 ( M709710 , MT802867 ( Syngenta_S22-C3 , Asgrow_A1900 ) ) , 04KL109914BC1 ) ) )
04RM822970	Syngenta_S30-Y8	DST3218	( 04RM822970 ( Syngenta_S30-Y8 ( Pioneer_P9362 , Syngenta_S35-35 ) , DST3218 ) )
05DL285328	CL605723	CL800127	( 05DL285328 ( CL605723 ( WW214164 , Syngenta_S08-80 ) , CL800127 ( Syngneta_S03-W4 , L924904 ( KG41 , Syngenta_S38-83 ) ) ) )
05DL345858	MT802867	98186-A01-30144	( 05DL345858 ( MT802867 ( Syngenta_S22-C3 , Asgrow_A1900 ) , 98186-A01-30144 ) )
05JR007045	Ina	MT012091	( 05JR007045 ( Ina ( Jack , Hartwig ) , MT012091 ( X006 ( Syngenta_S19-90 , MP91133 ) , Syngenta_S24-K4 ) ) )
05JR210562	Syngenta_S32-Z3	Syngenta_S49-Q9	( 05JR210562 ( Syngenta_S32-Z3 ( Exp_13404 , Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ) ) , Syngenta_S49-Q9 ) )
05KL119276	Syngenta_S10-F2	MT002989	( 05KL119276 ( Syngenta_S10-F2 ( Exp_91133 , Exp_C319428 ( McCall , S19-90 ) ) , MT002989 ( Syngenta_S16-Y6 ( Asgrow_A2242 ( Sherman , XP1928 ) , Exp_02052-11 ) , X022 ( Pioneer_P91608 , Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ) ) ) ) )
05KL134039	Pioneer_P91M10	H-1852RR	( 05KL134039 ( Pioneer_P91M10 , H-1852RR ) )
05KL134976	Syngenta_S10-F2	MT013548	( 05KL134976 ( Syngenta_S10-F2 ( Exp_91133 , Exp_C319428 ( McCall , S19-90 ) ) , MT013548 ( X006 ( Syngenta_S19-90 , MP91133 ) , Syngenta_S24-K4 ) ) )
05KL135608	MT002989	X312R	( 05KL135608 ( MT002989 ( Syngenta_S16-Y6 ( Asgrow_A2242 ( Sherman , XP1928 ) , Exp_02052-11 ) , X022 ( Pioneer_P91608 , Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ) ) ) , X312R ( X006 ( Syngenta_S19-90 , MP91133 ) , Syngenta_S24-K4 ) ) )
06BR337018	Pioneer_P93B86	Syngenta_S28-G1	( 06BR337018 ( Pioneer_P93B86 , Syngenta_S28-G1 ) )
06BR381007	WW115926	99702-B02-58205	( 06BR381007 ( WW115926 , 99702-B02-58205 ( B3491N , AP2952N ) ) )
06DL384689	DST2344	Dover	( 06DL384689 ( DST2344 , Dover ) )
06DL480307	Syngenta_S05-T6	OACWallace	( 06DL480307 ( Syngenta_S05-T6 , OACWallace ) )
06DL480732	Syngenta_S12-C2	CL984701	( 06DL480732 ( Syngenta_S12-C2 , CL984701 ( X006 ( Syngenta_S19-90 , MP91133 ) , Syngenta_S00-Z1 ) ) )
06DL480868	Syngenta_S05-T6	OACWallace	( 06DL480868 ( Syngenta_S05-T6 , OACWallace ) )
06GK614011	MT100710	MT103884	( 06GK614011 ( MT100710 ( X006 ( Syngenta_S19-90 , MP91133 ) ( Syngenta_S19-90 , MP91133 ) , Pioneer_P92B22 ) , MT103884 ( X006 ( Syngenta_S19-90 , MP91133 ) , Syngenta_S25-J5 ( Exp_13404 , Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ) ) ) ) )
06GK615309	MT100710	MT9078008	( 06GK615309 ( MT100710 ( X006 ( Syngenta_S19-90 , MP91133 ) , Pioneer_P92B22 ) , MT9078008 ( PXB19J99 , X022 ( Pioneer_P91608 , Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ) ) ) ) )
06JR202581	SJ030546	WW115926	( 06JR202581 ( SJ030546 ( Syngenta_S32-Z3 ( Exp_13404 , Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ) ) , Asgrow_A4341 ) , WW115926 ) )
06JR205288	DST2344	SJ031808	( 06JR205288 ( DST2344 , SJ031808 ( CX369c ( - , -_ ) , Syngenta_S38-T8 ) ) )
06JR205420	WW115926	SJ031808	( 06JR205420 ( WW115926 , SJ031808 ( CX369c ( - , -_ ) , Syngenta_S38-T8 ) ) )
06JR207459	SJ034878	SJ934809	( 06JR207459 ( SJ034878 ( Syngenta_S32-Z3 ( Exp_13404 , Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ) ) , Syngenta_S38-E9 ) , SJ934809 ( Syngenta_S42-H1 , Syngenta_S38-T8 ) ) )
06JR208211	SJ034878	SJ934809	( 06JR208211 ( SJ034878 ( Syngenta_S32-Z3 ( Exp_13404 , Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ) ) , Syngenta_S38-E9 ) , SJ934809 ( Syngenta_S42-H1 , Syngenta_S38-T8 ) ) )
06KG218440	BA018212	BA016127	( 06KG218440 ( BA018212 ( Carver , Syngenta_S80-J2 ) , BA016127 ) )
