Individual	Parent1	Parent2	Pedigree
Pioneer_P1082	Wells	Wilkin	( Pioneer_P1082 ( Wells , Wilkin ) )
Pioneer_P1981	Beeson	Williams	( Pioneer_P1981 ( Beeson , Williams ) )
Pioneer_P2180	Swift	Calland	( Pioneer_P2180 ( Swift , Calland ) )
Pioneer_P2480	Corsoy	Beeson	( Pioneer_P2480 ( Corsoy , Beeson ) )
Pioneer_P3081	Williams	Woodworth	( Pioneer_P3081 ( Williams , Woodworth ) )
Pioneer_P3481	Williams	Woodworth	( Pioneer_P3481 ( Williams , Woodworth ) )
Pioneer_P3580	Williams	Woodworth	( Pioneer_P3580 ( Williams , Woodworth ) )
Pioneer_P3981	Williams	Cutler_71	( Pioneer_P3981 ( Williams , Cutler_71 ) )
Pioneer_P4280	Williams	Woodworth	( Pioneer_P4280 ( Williams , Woodworth ) )
Pioneer_P4880	Mitchell	Cutler_71	( Pioneer_P4880 ( Mitchell ( Amsoy , Wayne ) , Cutler_71 ) )
Pioneer_P5482	Dare	Forrest	( Pioneer_P5482 ( Dare , Forrest ) )
Pioneer_P83-14	Amsoy	Beeson	( Pioneer_P83-14 ( Amsoy , Beeson ) )
Pioneer_P9004	M83-442	McCall	( Pioneer_P9004 ( M83-442 ( M71-148 ( Clay , Evans ) , Pioneer_P0877 ) , McCall ) )
Pioneer_P9162	Pioneer_P2981	Asgrow_A1937	( Pioneer_P9162 ( Pioneer_P2981 , Asgrow_A1937 ( Hodgson , D3003 ( Wayne , - ) ) ) )
Pioneer_P9171	Pioneer_P9271	Asgrow_A3127	( Pioneer_P9171 ( Pioneer_P9271 , Asgrow_A3127 ( Williams , Essex ) ) )
Pioneer_P9181	Beeson	Williams	( Pioneer_P9181 ( Beeson , Williams ) )
Pioneer_P9191	HP_2530	Pioneer_P3981	( Pioneer_P9191 ( HP_2530 , Pioneer_P3981 ( Williams , Cutler_71 ) ) )
Pioneer_P9221	Pioneer_P1677	Franklin	( Pioneer_P9221 ( Pioneer_P1677 , Franklin ) )
Pioneer_P9241	0624-32	Pioneer_P2981	( Pioneer_P9241 ( 0624-32 , Pioneer_P2981 ) )
Pioneer_P9268-003	PI_92718-2	Pioneer_P9271	( Pioneer_P9268-003 ( PI_92718-2 , Pioneer_P9271 ) )
Pioneer_P9273	Pioneer_P2981	Asgrow_A3127	( Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ) )
