Individual	Parent1	Parent2	Pedigree
G15-2379R2	NCC04-619	G09PR-54457R2	( G15-2379R2 ( NCC04-619 ( N97-61 ( N90-541 ( Hutcheson , N83-1014 ( GaSoy_17 ( Bragg , Hood ) , N77-940 ( N70-1540 ( Dare , D65-6765 ( D58-3358 , D59-9289 ( D51-4877 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ( Tokyo ( PI_8424 , - ) ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , D55-4168 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , Biloxi ( PI_23211 , - ) ) ) ) ) , Centennial ) ) ) , N90-1101 ( Brim , N80-777 ) ) , TN96-64 ( N85-578 , Manokin ) ) , G09PR-54457R2 ) )
G15-3361R2	N05-7432	G09PR-54329R2	( G15-3361R2 ( N05-7432 ( N7002 ( N7001 , Cook ) , N98-7265_ ) , G09PR-54329R2 ) )
G15-3606R2	G08PR-394	G09PR-54329R2	( G15-3606R2 ( G08PR-394 , G09PR-54329R2 ) )
G16-1216R2	G00-3880R2	Benning-EMGH	( G16-1216R2 ( G00-3880R2 , Benning-EMGH ) )
G16-4162R2	G06-3182RR	G10PR-86R2	( G16-4162R2 ( G06-3182RR ( G99-4158 ( S91-1381 ( Hartz_H5370 , Hartwig ) , Benning ) , Pioneer_P97M50 ) , G10PR-86R2 ( G00-3880 ( G3-9201 , Cook ) , NC7308A1-COYN ) ) )
G16-4418R2	G06-3182RR	G10PR-224R2	( G16-4418R2 ( G06-3182RR ( G99-4158 ( S91-1381 ( Hartz_H5370 , Hartwig ) , Benning ) , Pioneer_P97M50 ) , G10PR-224R2 ( G00-3213 ( N7001 , Boggs ) , NC7308A1-COYN ) ) )
G16-4995R2	G10PR-56444R2	G11PR-407R2	( G16-4995R2 ( G10PR-56444R2 , G11PR-407R2 ) )
G16-5022R2	G10PR-56444R2	G11PR-407R2	( G16-5022R2 ( G10PR-56444R2 , G11PR-407R2 ) )
G16-5129R2	G10PR-86R2	G11-418R2	( G16-5129R2 ( G10PR-86R2 ( G00-3880 ( G3-9201 , Cook ) , NC7308A1-COYN ) , G11-418R2 ) )
G16-5923R2	NCC04-619	G09PR-54457R2	( G16-5923R2 ( NCC04-619 ( N97-61 ( N90-541 ( Hutcheson , N83-1014 ( GaSoy_17 ( Bragg , Hood ) , N77-940 ( N70-1540 ( Dare , D65-6765 ( D58-3358 , D59-9289 ( D51-4877 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ( Tokyo ( PI_8424 , - ) ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , D55-4168 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , Biloxi ( PI_23211 , - ) ) ) ) ) , Centennial ) ) ) , N90-1101 ( Brim , N80-777 ) ) , TN96-64 ( N85-578 , Manokin ) ) , G09PR-54457R2 ) )
