Individual	Parent1	Parent2	Pedigree
G08-3795_RR	G99-2678	Pioneer_P97M50	( G08-3795_RR ( G99-2678 ( Prichard , Northrup_King_S75-55 ) , Pioneer_P97M50 ) )
G08-3808_RR	G99-2678	Pioneer_P97M50	( G08-3808_RR ( G99-2678 ( Prichard , Northrup_King_S75-55 ) , Pioneer_P97M50 ) )
G08-3848_RR	G99-2678	Pioneer_P97M50	( G08-3848_RR ( G99-2678 ( Prichard , Northrup_King_S75-55 ) , Pioneer_P97M50 ) )
G08-4171_RR	N97-9658	Boggs_RR	( G08-4171_RR ( N97-9658 ( N90-7199 , Cook ) , Boggs_RR ( Boggs , MON_RR ) ) )
G08-4200RR	N97-9658	Boggs_RR	( G08-4200RR ( N97-9658 ( N90-7199 , Cook ) , Boggs_RR ( Boggs , MON_RR ) ) )
G08-4200_RR	N97-9658	Boggs_RR	( G08-4200_RR ( N97-9658 ( N90-7199 , Cook ) , Boggs_RR ( Boggs , MON_RR ) ) )
G08-5122_RR	N97-9658	G02-G176376	( G08-5122_RR ( N97-9658 ( N90-7199 , Cook ) , G02-G176376 ) )
G08-5212_RR	N97-9658	G02-G176376	( G08-5212_RR ( N97-9658 ( N90-7199 , Cook ) , G02-G176376 ) )
G08PR-394_	5601T	R01-3637F	( G08PR-394_ ( 5601T ( Hutcheson , TN89-39 ( TN81-2 ( Lee_74 , Mitchell ( Amsoy , Wayne ) ) , TN80-69 ( Essex , J74-40 ) ) ) , R01-3637F ( Caviness , Misuzu_Daizu ) ) )
G09-3202R2	G00-3880	NC7308A1-COYN	( G09-3202R2 ( G00-3880 ( G3-9201 , Cook ) , NC7308A1-COYN ) )
G09PR-80	5601T	PI_157440	( G09PR-80 ( 5601T ( Hutcheson , TN89-39 ( TN81-2 ( Lee_74 , Mitchell ( Amsoy , Wayne ) ) , TN80-69 ( Essex , J74-40 ) ) ) , PI_157440 ) )
G10-2479_RR	Boggs_RR	R01-3637F	( G10-2479_RR ( Boggs_RR ( Boggs , MON_RR ) , R01-3637F ( Caviness , Misuzu_Daizu ) ) )
G10-3429RR	N02-219	G03-1668_RR	( G10-3429RR ( N02-219 ( SC91-2007 , Holladay ) , G03-1668_RR ( Hartz_H7242_RR , K1423 ( Manokin , LS86-1922 ( Pyramid , LS78-5169 ) ) ) ) )
G10-3429_RR	N02-219	G03-1668_RR	( G10-3429_RR ( N02-219 ( SC91-2007 , Holladay ) , G03-1668_RR ( Hartz_H7242_RR , K1423 ( Manokin , LS86-1922 ( Pyramid , LS78-5169 ) ) ) ) )
G10-3833RR	N02-219	G00-3213	( G10-3833RR ( N02-219 ( SC91-2007 , Holladay ) , G00-3213 ( N7001 , Boggs ) ) )
G10-3833_RR	G03-825_RR	G00-3213	( G10-3833_RR ( G03-825_RR ( G94-3117 ( G86-1434 ( D79-6058 ( Tracy , Centennial ) , Twiggs ) , Hagood ) , Hartz_H7242_RR ) , G00-3213 ( N7001 , Boggs ) ) )
G10-3896_RR	G03-825_RR	G00-3213	( G10-3896_RR ( G03-825_RR ( G94-3117 ( G86-1434 ( D79-6058 ( Tracy , Centennial ) , Twiggs ) , Hagood ) , Hartz_H7242_RR ) , G00-3213 ( N7001 , Boggs ) ) )
G10-3913R2	G00-3213	NC7308A1-COYN	( G10-3913R2 ( G00-3213 ( N7001 , Boggs ) , NC7308A1-COYN ) )
G10-3954R2	G00-3213	NC7308A1-COYN	( G10-3954R2 ( G00-3213 ( N7001 , Boggs ) , NC7308A1-COYN ) )
G10-3968R2	G00-3213	NC7308A1-COYN	( G10-3968R2 ( G00-3213 ( N7001 , Boggs ) , NC7308A1-COYN ) )
G10PR-224R2	G00-3213	NC7308A1-COYN	( G10PR-224R2 ( G00-3213 ( N7001 , Boggs ) , NC7308A1-COYN ) )
G10PR-56330R2	G93-2225	G00-3213	( G10PR-56330R2 ( G93-2225 ( Cook , Coker_6727 ) , G00-3213 ( N7001 , Boggs ) ) )
G10PR-86R2	G00-3880	NC7308A1-COYN	( G10PR-86R2 ( G00-3880 ( G3-9201 , Cook ) , NC7308A1-COYN ) )
G13-6241	G00-3213	LG04-6000	( G13-6241 ( G00-3213 ( N7001 , Boggs ) , LG04-6000 ( HS93-4118 ( IA2007 ( Pride_B152 , A80-244003 ( Northrup_King_S1492 ( Corsoy , Wayne ) , Pella ) ) , Dairyland_DSR304 ( Williams , - ) ) , LG97-9912 ( LG90-4181 ( PI_436682 , Lawrence ) , Asgrow_A3322 ) ) ) )
G14-1408R2	G10PR-56248	G10PR-56389	( G14-1408R2 ( G10PR-56248 , G10PR-56389 ) )
G14-1632R2	G10PR-10	G10PR-56389	( G14-1632R2 ( G10PR-10 , G10PR-56389 ) )
G14-1665R2	G10PR-10	G10PR-56389	( G14-1665R2 ( G10PR-10 , G10PR-56389 ) )
G14-1755R2	G10PR-10	G10PR-56389_R2Y	( G14-1755R2 ( G10PR-10 , G10PR-56389_R2Y ) )
G14-6063	G08PR-394	G09PR-25	( G14-6063 ( G08PR-394 , G09PR-25 ) )
G15-1038R2	G10PR-56248R2	G10PR-56466R2	( G15-1038R2 ( G10PR-56248R2 , G10PR-56466R2 ) )
G15-1465R2	G10PR-56248R2	G10PR-10R2	( G15-1465R2 ( G10PR-56248R2 , G10PR-10R2 ) )
G15-1811R2	R04-342	G09PR-54457R2	( G15-1811R2 ( R04-342 ( R97-1650 ( Pioneer_P9592 , Holladay ) , 98601 ( Asgrow_A5403 , Hutcheson ) ) , G09PR-54457R2 ) )
G15-2017R2	R04-342	G09PR-54457R2	( G15-2017R2 ( R04-342 ( R97-1650 ( Pioneer_P9592 , Holladay ) , 98601 ( Asgrow_A5403 , Hutcheson ) ) , G09PR-54457R2 ) )
G15-2330R2	NCC04-619	G09PR-54457R2	( G15-2330R2 ( NCC04-619 ( N97-61 ( N90-541 ( Hutcheson , N83-1014 ( GaSoy_17 ( Bragg , Hood ) , N77-940 ( N70-1540 ( Dare , D65-6765 ( D58-3358 , D59-9289 ( D51-4877 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ( Tokyo ( PI_8424 , - ) ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , D55-4168 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , Biloxi ( PI_23211 , - ) ) ) ) ) , Centennial ) ) ) , N90-1101 ( Brim , N80-777 ) ) , TN96-64 ( N85-578 , Manokin ) ) , G09PR-54457R2 ) )
