Individual	Parent1	Parent2	Pedigree
H16-461	Dunfield	Illini	( H16-461 ( Dunfield ( PI_36846 , - ) , Illini ( A.K. , - ) ) )
H167-463	Dunfield	Manchuria_13177	( H167-463 ( Dunfield ( PI_36846 , - ) , Manchuria_13177 ( Manchuria ( PI_28050 , - ) , - ) ) )
H2	Dunfield	Illini	( H2 ( Dunfield ( PI_36846 , - ) , Illini ( A.K. , - ) ) )
H20771	Monroe	Lincoln	( H20771 ( Monroe , Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) ) )
H21162	Monroe	Lincoln	( H21162 ( Monroe , Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) ) )
H21793	Richland	H2	( H21793 ( Richland , H2 ( Dunfield ( PI_36846 , - ) , Illini ( A.K. , - ) ) ) )
H22-461	Dunfield	Illini	( H22-461 ( Dunfield ( PI_36846 , - ) , Illini ( A.K. , - ) ) )
H24-463	Mukden	Mandarin	( H24-463 ( Mukden ( PI_50523 , - ) , Mandarin ( PI_36653 , - ) ) )
H24088	Monroe	Lincoln	( H24088 ( Monroe , Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) ) )
H25-461	Scioto	Mandarin	( H25-461 ( Scioto ( Manchu ( PI_30593 , - ) , - ) , Mandarin ( PI_36653 , - ) ) )
H257-463	Illini	T95	( H257-463 ( Illini ( A.K. , - ) , T95 ) )
H2804	Richland	Scioto	( H2804 ( Richland , Scioto ( Manchu ( PI_30593 , - ) , - ) ) )
H29-461	Scioto	Mandarin	( H29-461 ( Scioto ( Manchu ( PI_30593 , - ) , - ) , Mandarin ( PI_36653 , - ) ) )
H3	Scioto	Mandarin	( H3 ( Scioto ( Manchu ( PI_30593 , - ) , - ) , Mandarin ( PI_36653 , - ) ) )
H3665	Richland	Manchu_3	( H3665 ( Richland , Manchu_3 ( Manchu ( PI_30593 , - ) , - ) ) )
H38-461	Scioto	Mandarin	( H38-461 ( Scioto ( Manchu ( PI_30593 , - ) , - ) , Mandarin ( PI_36653 , - ) ) )
H4	Mukden	Mandarin	( H4 ( Mukden ( PI_50523 , - ) , Mandarin ( PI_36653 , - ) ) )
H50-461	Illini	Mandarin	( H50-461 ( Illini ( A.K. , - ) , Mandarin ( PI_36653 , - ) ) )
H5S	H5	-	( H5S ( H5 , - ) )
H6	Dunfield	Scioto	( H6 ( Dunfield ( PI_36846 , - ) , Scioto ( Manchu ( PI_30593 , - ) , - ) ) )
H75-5605	Woodworth	V68-1034	( H75-5605 ( Woodworth , V68-1034 ( York , PI_71506 ) ) )
H78-168	D70-3115	Forrest	( H78-168 ( D70-3115 ( D64-4636 ( Hill , D58-3311 ) , Pickett_71 ) , Forrest ) )
H8	Dunfield	Illini	( H8 ( Dunfield ( PI_36846 , - ) , Illini ( A.K. , - ) ) )
H841635	Coker_237	Bedford	( H841635 ( Coker_237 ( Hutton , N63-858 ( D58-3358 , D59-9289 ( D51-4877 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ( Tokyo ( PI_8424 , - ) ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , D55-4168 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , Biloxi ( PI_23211 , - ) ) ) ) ) , Bedford ) )
H9	Dunfield	Illini	( H9 ( Dunfield ( PI_36846 , - ) , Illini ( A.K. , - ) ) )
H90-461	Mukden	Mandarin	( H90-461 ( Mukden ( PI_50523 , - ) , Mandarin ( PI_36653 , - ) ) )
HA82-168018	Pella	A77-314013	( HA82-168018 ( Pella , A77-314013 ( A73-21030 , Williams ) ) )
HBK_5991	Asgrow_A6297	Northrup_King_S59-95	( HBK_5991 ( Asgrow_A6297 ( Young , Asgrow_A5474 ) , Northrup_King_S59-95 ) )
HC74-634RE	Williams	Ransom	( HC74-634RE ( Williams , Ransom ) )
HC74-643RE	Williams	Ransom	( HC74-643RE ( Williams , Ransom ) )
HC74-678	Amsoy_71	Ransom	( HC74-678 ( Amsoy_71 , Ransom ) )
