Individual	Parent1	Parent2	Pedigree
F59-2496	D55-4090	D55-4159	( F59-2496 ( D55-4090 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ( Tokyo ( PI_8424 , - ) ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) , D55-4159 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , Biloxi ( PI_23211 , - ) ) ) )
F59-693	Hill	D52-810	( F59-693 ( Hill , D52-810 ( Roanoke , Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ) ) )
F60-2252	D51-4877	D51-5091	( F60-2252 ( D51-4877 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ( Tokyo ( PI_8424 , - ) ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ( Clemson ( PI_71659 , - ) ( PI_71659 , - ) , - ) ) ) , D51-5091 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) ) )
F61-1864	Palmetto	D49-2491	( F61-1864 ( Palmetto ( PI_71587 , - ) , D49-2491 ( S-100 ( Illini ( A.K. , - ) , - ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) )
F61-3118	D51-5091	Jackson	( F61-3118 ( D51-5091 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , Jackson ) )
F61-3132	D51-5091	Jackson	( F61-3132 ( D51-5091 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , Jackson ) )
F62-1058	F57-871	F57-879	( F62-1058 ( F57-871 , F57-879 ) )
F62-1080	F57-871	F57-879	( F62-1080 ( F57-871 , F57-879 ) )
F62-1091	F57-871	F57-879	( F62-1091 ( F57-871 , F57-879 ) )
F62-1770	F57-871	F57-873	( F62-1770 ( F57-871 , F57-873 ( D49-2491 ( S-100 ( Illini ( A.K. , - ) , - ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) , Biloxi ( PI_23211 , - ) ) ) )
