Individual	Parent1	Parent2	Pedigree
JH13336927	ZB37P05	JH12376999	( JH13336927 ( ZB37P05 ( Pioneer_P93B86 , XB39U99 ( Asgrow_A4138 , 40305-117 ( Pioneer_P9312 , Pioneer_P9392 ( Asgrow_A3127 ( Williams , Essex ) , Gnome ) ) ) ) , JH12376999 ( YB38Q05 ( Pioneer_P93B87 , Pioneer_P93B82 ) ( Pioneer_P93B87 , Pioneer_P93B82 ) ( Pioneer_P93B87 , Pioneer_P93B82 ) , JH11944958 ( YB38Q05 ( Pioneer_P93B87 , Pioneer_P93B82 ) ( Pioneer_P93B87 , Pioneer_P93B82 ) , JH10955518 ( JH9638246 , YB38Q05 ( Pioneer_P93B87 , Pioneer_P93B82 ) ) ) ) ) )
JH13337911	Pioneer_P90M60	JH12377267	( JH13337911 ( Pioneer_P90M60 , JH12377267 ( Pioneer_P90M60 , JH11944941 ( XB22G06 ( Pioneer_P93B82 , Pioneer_P91B53 ) ( Pioneer_P93B82 , Pioneer_P91B53 ) , JH10955520 ( JH9638246 , XB22G06 ( Pioneer_P93B82 , Pioneer_P91B53 ) ) ) ) ) )
JH13337915	Pioneer_P91B42	JH12377292	( JH13337915 ( Pioneer_P91B42 , JH12377292 ( Pioneer_P91B42 , JH11944941 ( XB22G06 ( Pioneer_P93B82 , Pioneer_P91B53 ) ( Pioneer_P93B82 , Pioneer_P91B53 ) , JH10955520 ( JH9638246 , XB22G06 ( Pioneer_P93B82 , Pioneer_P91B53 ) ) ) ) ) )
JH13884372	ZB27U04	JH12377007	( JH13884372 ( ZB27U04 ( Pioneer_P93B87 , Pioneer_P92B61 ) ( Pioneer_P93B87 , Pioneer_P92B61 ) ( Pioneer_P93B87 , Pioneer_P92B61 ) ( Pioneer_P93B87 , Pioneer_P92B61 ) , JH12377007 ( ZB27U04 ( Pioneer_P93B87 , Pioneer_P92B61 ) ( Pioneer_P93B87 , Pioneer_P92B61 ) ( Pioneer_P93B87 , Pioneer_P92B61 ) , JH11944981 ( ZB27U04 ( Pioneer_P93B87 , Pioneer_P92B61 ) ( Pioneer_P93B87 , Pioneer_P92B61 ) , JH10955521 ( JH9638246 , ZB27U04 ( Pioneer_P93B87 , Pioneer_P92B61 ) ) ) ) ) )
JH13885038	Pioneer_P91B42	JH13337911	( JH13885038 ( Pioneer_P91B42 , JH13337911 ( Pioneer_P90M60 , JH12377267 ( Pioneer_P90M60 , JH11944941 ( XB22G06 ( Pioneer_P93B82 , Pioneer_P91B53 ) ( Pioneer_P93B82 , Pioneer_P91B53 ) , JH10955520 ( JH9638246 , XB22G06 ( Pioneer_P93B82 , Pioneer_P91B53 ) ) ) ) ) ) )
JH13885045	Pioneer_P91M51	JH13337915	( JH13885045 ( Pioneer_P91M51 , JH13337915 ( Pioneer_P91B42 , JH12377292 ( Pioneer_P91B42 , JH11944941 ( XB22G06 ( Pioneer_P93B82 , Pioneer_P91B53 ) ( Pioneer_P93B82 , Pioneer_P91B53 ) , JH10955520 ( JH9638246 , XB22G06 ( Pioneer_P93B82 , Pioneer_P91B53 ) ) ) ) ) ) )
JH13895102	Pioneer_P93M61	JH13336927	( JH13895102 ( Pioneer_P93M61 , JH13336927 ( ZB37P05 ( Pioneer_P93B86 , XB39U99 ( Asgrow_A4138 , 40305-117 ( Pioneer_P9312 , Pioneer_P9392 ( Asgrow_A3127 ( Williams , Essex ) , Gnome ) ) ) ) , JH12376999 ( YB38Q05 ( Pioneer_P93B87 , Pioneer_P93B82 ) ( Pioneer_P93B87 , Pioneer_P93B82 ) ( Pioneer_P93B87 , Pioneer_P93B82 ) , JH11944958 ( YB38Q05 ( Pioneer_P93B87 , Pioneer_P93B82 ) ( Pioneer_P93B87 , Pioneer_P93B82 ) , JH10955518 ( JH9638246 , YB38Q05 ( Pioneer_P93B87 , Pioneer_P93B82 ) ) ) ) ) ) )
JH14820720	Pioneer_P93M42	JH13895102	( JH14820720 ( Pioneer_P93M42 , JH13895102 ( Pioneer_P93M61 , JH13336927 ( ZB37P05 ( Pioneer_P93B86 , XB39U99 ( Asgrow_A4138 , 40305-117 ( Pioneer_P9312 , Pioneer_P9392 ( Asgrow_A3127 ( Williams , Essex ) , Gnome ) ) ) ) , JH12376999 ( YB38Q05 ( Pioneer_P93B87 , Pioneer_P93B82 ) ( Pioneer_P93B87 , Pioneer_P93B82 ) ( Pioneer_P93B87 , Pioneer_P93B82 ) , JH11944958 ( YB38Q05 ( Pioneer_P93B87 , Pioneer_P93B82 ) ( Pioneer_P93B87 , Pioneer_P93B82 ) , JH10955518 ( JH9638246 , YB38Q05 ( Pioneer_P93B87 , Pioneer_P93B82 ) ) ) ) ) ) ) )
JH14820789	Pioneer_P91B42	JH13885045	( JH14820789 ( Pioneer_P91B42 , JH13885045 ( Pioneer_P91M51 , JH13337915 ( Pioneer_P91B42 , JH12377292 ( Pioneer_P91B42 , JH11944941 ( XB22G06 ( Pioneer_P93B82 , Pioneer_P91B53 ) ( Pioneer_P93B82 , Pioneer_P91B53 ) , JH10955520 ( JH9638246 , XB22G06 ( Pioneer_P93B82 , Pioneer_P91B53 ) ) ) ) ) ) ) )
JH4267591	YB36V00	HL3356756	( JH4267591 ( YB36V00 ( Pioneer_P9362 , Pioneer_P93B82 ) ( Pioneer_P9362 , Pioneer_P93B82 ) , HL3356756 ( YB36V00 ( Pioneer_P9362 , Pioneer_P93B82 ) , Pioneer_P93B67 ) ) )
JH4268392	Pioneer_P92M70	Pioneer_P93B09	( JH4268392 ( Pioneer_P92M70 , Pioneer_P93B09 ) )
JH4282852	Pioneer_P92M70	JH4268392	( JH4282852 ( Pioneer_P92M70 , JH4268392 ( Pioneer_P92M70 , Pioneer_P93B09 ) ) )
JH4603324	Pioneer_P92M70	JH4282852	( JH4603324 ( Pioneer_P92M70 , JH4282852 ( Pioneer_P92M70 , JH4268392 ( Pioneer_P92M70 , Pioneer_P93B09 ) ) ) )
JH6676568	Pioneer_P92B38	JX5789894	( JH6676568 ( Pioneer_P92B38 , JX5789894 ) )
JH7380284	Pioneer_P92B38	JH6676568	( JH7380284 ( Pioneer_P92B38 , JH6676568 ( Pioneer_P92B38 , JX5789894 ) ) )
JH8069431	Pioneer_P92B38	JH7380284	( JH8069431 ( Pioneer_P92B38 , JH7380284 ( Pioneer_P92B38 , JH6676568 ( Pioneer_P92B38 , JX5789894 ) ) ) )
JH8069435	Pioneer_P92B38	JH7380284	( JH8069435 ( Pioneer_P92B38 , JH7380284 ( Pioneer_P92B38 , JH6676568 ( Pioneer_P92B38 , JX5789894 ) ) ) )
JTN-033	S94-1956	MD94-5396	( JTN-033 ( S94-1956 , MD94-5396 ( Ripley , Clifford ) ) )
JTN-4119	5601T	PI_437655	( JTN-4119 ( 5601T ( Hutcheson , TN89-39 ( TN81-2 ( Lee_74 , Mitchell ( Amsoy , Wayne ) ) , TN80-69 ( Essex , J74-40 ) ) ) , PI_437655 ) )
JTN-4207	LS93-0375	LS96-0735	( JTN-4207 ( LS93-0375 ( Asgrow_A3935 ( M0474C ( Mitchell ( Amsoy , Wayne ) , - ) , Asgrow_A3127 ( Williams , Essex ) ) , Pioneer_P9402 ) , LS96-0735 ( Flyer , Asgrow_A4715 ) ) )
JTN-4219	5601T	PI_437655	( JTN-4219 ( 5601T ( Hutcheson , TN89-39 ( TN81-2 ( Lee_74 , Mitchell ( Amsoy , Wayne ) ) , TN80-69 ( Essex , J74-40 ) ) ) , PI_437655 ) )
JTN-4307	S97-1688	V94-0198	( JTN-4307 ( S97-1688 ( S91-1381 ( Hartz_H5370 , Hartwig ) , Hartz_H5810 ) , V94-0198 ( DPL_415 ( Essex , DPX_436 ( Pickett_71 , York ) ) , Manokin ) ) )
JTN-4308	S96-2641	S97-1688-12-LOAM02	( JTN-4308 ( S96-2641 ( Pioneer_P9591 , S91-1839 ( Hartwig , Coker_485 ) ) , S97-1688-12-LOAM02 ) )
