Individual	Parent1	Parent2	Pedigree
A04-444032	AgriPro_AP93046-A95-3127E	IA2064	( A04-444032 ( AgriPro_AP93046-A95-3127E , IA2064 ) )
A04-543043	Pioneer_P92B12	A00-711042	( A04-543043 ( Pioneer_P92B12 , A00-711042 ( Pioneer_P9321 , IA2036 ( Jack , A86-301024 ( A81-356022 ( Century , A76-304020 ) , Hack ) ) ) ) )
A04-545015	Dairyland_98822	A00-711025	( A04-545015 ( Dairyland_98822 , A00-711025 ( Pioneer_P9233 , IA2036 ( Jack , A86-301024 ( A81-356022 ( Century , A76-304020 ) , Hack ) ) ) ) )
A04-545045	Pioneer_93B86	A00-711022	( A04-545045 ( Pioneer_93B86 , A00-711022 ) )
A04-645020	Pioneer_P93B66	Sygenta_S20-F8	( A04-645020 ( Pioneer_P93B66 , Sygenta_S20-F8 ) )
A04-645031	A00-711041	AgriPro_X01138P77	( A04-645031 ( A00-711041 ( Pioneer_P9233 , IA2036 ( Jack , A86-301024 ( A81-356022 ( Century , A76-304020 ) , Hack ) ) ) , AgriPro_X01138P77 ) )
A08-151024	A04-545045	AgriPro_AP98180-A01-0613	( A08-151024 ( A04-545045 ( Pioneer_93B86 , A00-711022 ) , AgriPro_AP98180-A01-0613 ) )
A09-753035	IA2078	Syngenta_WW221162	( A09-753035 ( IA2078 , Syngenta_WW221162 ) )
A09-754003	IA3042	A04-543043	( A09-754003 ( IA3042 ( T-3211 , A15025B011 ) , A04-543043 ( Pioneer_P92B12 , A00-711042 ( Pioneer_P9321 , IA2036 ( Jack , A86-301024 ( A81-356022 ( Century , A76-304020 ) , Hack ) ) ) ) ) )
A09-755015	IA3042	IA3028	( A09-755015 ( IA3042 ( T-3211 , A15025B011 ) , IA3028 ) )
A1	Anoka	Mack	( A1 ( Anoka , Mack ) )
A10-456040	A06-915014	Syngenta_04KL015644	( A10-456040 ( A06-915014 , Syngenta_04KL015644 ) )
A10-555001	IA3042	Syngenta_03JR321086	( A10-555001 ( IA3042 ( T-3211 , A15025B011 ) , Syngenta_03JR321086 ) )
A10-556015	IA3026	Syngenta_04KL015644	( A10-556015 ( IA3026 , Syngenta_04KL015644 ) )
A10-653019	IA3042	Syngenta_03JR321086	( A10-653019 ( IA3042 ( T-3211 , A15025B011 ) , Syngenta_03JR321086 ) )
A13	AP9	-	( A13 ( AP9 , - ) )
A14004-126	IA1026	LD10-5213a	( A14004-126 ( IA1026 , LD10-5213a ) )
A14004-13	IA1026	LD02-5213a	( A14004-13 ( IA1026 , LD02-5213a ) )
A14004-58	IA1026	LD10-5213a	( A14004-58 ( IA1026 , LD10-5213a ) )
A14010-168	IA2102	IA3024	( A14010-168 ( IA2102 ( A04-545045 ( Pioneer_93B86 , A00-711022 ) , AgriPro_AP98180-A01-0613 ) , IA3024 ( A97-553017 , Pioneer_YB33A99 ) ) )
A14011-116	IA1026	IA2102	( A14011-116 ( IA1026 , IA2102 ( A04-545045 ( Pioneer_93B86 , A00-711022 ) , AgriPro_AP98180-A01-0613 ) ) )
A14011-30	IA1026	IA2102	( A14011-30 ( IA1026 , IA2102 ( A04-545045 ( Pioneer_93B86 , A00-711022 ) , AgriPro_AP98180-A01-0613 ) ) )
A14011-55	IA1026	IA2102	( A14011-55 ( IA1026 , IA2102 ( A04-545045 ( Pioneer_93B86 , A00-711022 ) , AgriPro_AP98180-A01-0613 ) ) )
A14011-67	IA1026	IA2102	( A14011-67 ( IA1026 , IA2102 ( A04-545045 ( Pioneer_93B86 , A00-711022 ) , AgriPro_AP98180-A01-0613 ) ) )
A14011-77	IA1026	IA2102	( A14011-77 ( IA1026 , IA2102 ( A04-545045 ( Pioneer_93B86 , A00-711022 ) , AgriPro_AP98180-A01-0613 ) ) )
A14011-90	IA1026	IA2102	( A14011-90 ( IA1026 , IA2102 ( A04-545045 ( Pioneer_93B86 , A00-711022 ) , AgriPro_AP98180-A01-0613 ) ) )
A14015-21	IA1028HO	IA3050	( A14015-21 ( IA1028HO ( IA1026 , - ) , IA3050 ( Dairyland_98820-33 , IA3024 ( A97-553017 , Pioneer_YB33A99 ) ) ) )
A14017-166	IA1027HO	IA2102	( A14017-166 ( IA1027HO , IA2102 ( A04-545045 ( Pioneer_93B86 , A00-711022 ) , AgriPro_AP98180-A01-0613 ) ) )
A14017-33	IA1027HO	IA2102	( A14017-33 ( IA1027HO , IA2102 ( A04-545045 ( Pioneer_93B86 , A00-711022 ) , AgriPro_AP98180-A01-0613 ) ) )
A14017-66	IA1027HO	IA2102	( A14017-66 ( IA1027HO , IA2102 ( A04-545045 ( Pioneer_93B86 , A00-711022 ) , AgriPro_AP98180-A01-0613 ) ) )
A14019-1	IA1026HO	IA2104HS	( A14019-1 ( IA1026HO ( IA1026 , - ) , IA2104HS ( IA2104 ( IA3027 , Soygenetics_F40412C ) , - ) ) )
A14019-141	IA1026HO	IA2104HS	( A14019-141 ( IA1026HO ( IA1026 , - ) , IA2104HS ( IA2104 ( IA3027 , Soygenetics_F40412C ) , - ) ) )
A14019-28	IA1026HO	IA2104HS	( A14019-28 ( IA1026HO ( IA1026 , - ) , IA2104HS ( IA2104 ( IA3027 , Soygenetics_F40412C ) , - ) ) )
A14019-35	IA1026HO	IA2104HS	( A14019-35 ( IA1026HO ( IA1026 , - ) , IA2104HS ( IA2104 ( IA3027 , Soygenetics_F40412C ) , - ) ) )
A14069-28	IA1026	IA2102	( A14069-28 ( IA1026 , IA2102 ( A04-545045 ( Pioneer_93B86 , A00-711022 ) , AgriPro_AP98180-A01-0613 ) ) )
A15110-197	U09-105007	LD07-3419	( A15110-197 ( U09-105007 ( OAC_05-21 ( OT99-2 , OAC00-17 ( A92-525014 ( IA2008 ( BSR_101 , A80-244003 ( Northrup_King_S1492 ( Corsoy , Wayne ) , Pella ) ) , Kenwood ) , OAC_Vision ) ) , U03-300134 ( NE32022 , NE2802 ) ) , LD07-3419 ( WW115926 , LD00-2817 ) ) )
A1564	Hark	C1453	( A1564 ( Hark , C1453 ( C1266R ( Harosoy , C1079 ( C985 ( Lincoln ( Mandarin ( PI_36653 , - ) , Manchu ( PI_30593 , - ) ) , Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ) , - ) ) , C1253 ( Blackhawk , Harosoy ) ) ) )
A15704-2	U11-920017	P2C10	( A15704-2 ( U11-920017 ( HS5-3417 ( IA3023 ( Dairyland_DSR365 , Pioneer_P9381 ) , HS99-4045 ) , LD02-_4485 ) , P2C10 ) )
A17	BSR_101	CN210	( A17 ( BSR_101 , CN210 ( L70-2283 ( Custer , Chippewa ) , Beeson ) ) )
A18-231	Dunfield	Linman_533	( A18-231 ( Dunfield ( PI_36846 , - ) , Linman_533 ( Manchu ( PI_30593 , - ) , - ) ) )
A29	A89-144003EMS-81	-	( A29 ( A89-144003EMS-81 ( A89-144003 ( BSR_101 , Asgrow_A1937 ( Hodgson , D3003 ( Wayne , - ) ) ) , - ) , - ) )
A3-117	Illini	Dunfield	( A3-117 ( Illini ( A.K. , - ) , Dunfield ( PI_36846 , - ) ) )
A3-118	Illini	Dunfield	( A3-118 ( Illini ( A.K. , - ) , Dunfield ( PI_36846 , - ) ) )
A3-127	Richland	Mandell	( A3-127 ( Richland , Mandell ) )
A3-128	Richland	Mandell	( A3-128 ( Richland , Mandell ) )
A3-1411-20	Mukden	Dunfield	( A3-1411-20 ( Mukden ( PI_50523 , - ) , Dunfield ( PI_36846 , - ) ) )
A3-1411-27	Mukden	Dunfield	( A3-1411-27 ( Mukden ( PI_50523 , - ) , Dunfield ( PI_36846 , - ) ) )
A3-1411-47	Mukden	Dunfield	( A3-1411-47 ( Mukden ( PI_50523 , - ) , Dunfield ( PI_36846 , - ) ) )
A3-163	Dunfield	Richland	( A3-163 ( Dunfield ( PI_36846 , - ) , Richland ) )
A3-176	Illini	Dunfield	( A3-176 ( Illini ( A.K. , - ) , Dunfield ( PI_36846 , - ) ) )
A3-360-12	Illini	Mandell	( A3-360-12 ( Illini ( A.K. , - ) , Mandell ) )
A3-61	Illini	Dunfield	( A3-61 ( Illini ( A.K. , - ) , Dunfield ( PI_36846 , - ) ) )
A3-9	Illini	Dunfield	( A3-9 ( Illini ( A.K. , - ) , Dunfield ( PI_36846 , - ) ) )
A3-92	Illini	Dunfield	( A3-92 ( Illini ( A.K. , - ) , Dunfield ( PI_36846 , - ) ) )
A31-291	Illini	Dunfield	( A31-291 ( Illini ( A.K. , - ) , Dunfield ( PI_36846 , - ) ) )
A41-251	Mukden	Dunfield	( A41-251 ( Mukden ( PI_50523 , - ) , Dunfield ( PI_36846 , - ) ) )
A43-10	Mukden	Richland	( A43-10 ( Mukden ( PI_50523 , - ) , Richland ) )
A43-109	Mukden	Richland	( A43-109 ( Mukden ( PI_50523 , - ) , Richland ) )
A43-117	Illini	Dunfield	( A43-117 ( Illini ( A.K. , - ) , Dunfield ( PI_36846 , - ) ) )
A43-118	Illini	Richland	( A43-118 ( Illini ( A.K. , - ) , Richland ) )
A43-127	Richland	Mandell	( A43-127 ( Richland , Mandell ) )
A43-128	Richland	Mandell	( A43-128 ( Richland , Mandell ) )
A43-14	Dunfield	Linman_533	( A43-14 ( Dunfield ( PI_36846 , - ) , Linman_533 ( Manchu ( PI_30593 , - ) , - ) ) )
A43-1411-20	Mukden	Dunfield	( A43-1411-20 ( Mukden ( PI_50523 , - ) , Dunfield ( PI_36846 , - ) ) )
A43-1411-27	Mukden	Dunfield	( A43-1411-27 ( Mukden ( PI_50523 , - ) , Dunfield ( PI_36846 , - ) ) )
A43-1411-47	Mukden	Dunfield	( A43-1411-47 ( Mukden ( PI_50523 , - ) , Dunfield ( PI_36846 , - ) ) )
A43-143	Richland	B._H._Manchu	( A43-143 ( Richland , B._H._Manchu ( Manchu ( PI_30593 , - ) , - ) ) )
A43-149	Dunfield	Linman_533	( A43-149 ( Dunfield ( PI_36846 , - ) , Linman_533 ( Manchu ( PI_30593 , - ) , - ) ) )
A43-163	Dunfield	Richland	( A43-163 ( Dunfield ( PI_36846 , - ) , Richland ) )
A43-17	Mukden	Richland	( A43-17 ( Mukden ( PI_50523 , - ) , Richland ) )
A43-1715-1	Mandarin	Richland	( A43-1715-1 ( Mandarin ( PI_36653 , - ) , Richland ) )
A43-1715-3	Mandarin	Richland	( A43-1715-3 ( Mandarin ( PI_36653 , - ) , Richland ) )
A43-176	Illini	Dunfield	( A43-176 ( Illini ( A.K. , - ) , Dunfield ( PI_36846 , - ) ) )
A43-2015-28	Ontario	Richland	( A43-2015-28 ( Ontario , Richland ) )
A43-32	Richland	Linman_533	( A43-32 ( Richland , Linman_533 ( Manchu ( PI_30593 , - ) , - ) ) )
A43-33	Mukden	Richland	( A43-33 ( Mukden ( PI_50523 , - ) , Richland ) )
A43-360-12	Illini	Mandell	( A43-360-12 ( Illini ( A.K. , - ) , Mandell ) )
A43-61	Illini	Dunfield	( A43-61 ( Illini ( A.K. , - ) , Dunfield ( PI_36846 , - ) ) )
A43-9	Illini	Dunfield	( A43-9 ( Illini ( A.K. , - ) , Dunfield ( PI_36846 , - ) ) )
A43-92	Illini	Dunfield	( A43-92 ( Illini ( A.K. , - ) , Dunfield ( PI_36846 , - ) ) )
A43-93	Mukden	B._H._Manchu	( A43-93 ( Mukden ( PI_50523 , - ) , B._H._Manchu ( Manchu ( PI_30593 , - ) , - ) ) )
A43-94	Dunfield	Linman_533	( A43-94 ( Dunfield ( PI_36846 , - ) , Linman_533 ( Manchu ( PI_30593 , - ) , - ) ) )
A43K-884	Mukden	Richland	( A43K-884 ( Mukden ( PI_50523 , - ) , Richland ) )
A44-107-12	A43-107	-	( A44-107-12 ( A43-107 , - ) )
A44-107-4	A43-107	-	( A44-107-4 ( A43-107 , - ) )
A44-107-5	A43-107	-	( A44-107-5 ( A43-107 , - ) )
A44-107-7	A43-107	-	( A44-107-7 ( A43-107 , - ) )
A44-107-8	A43-107	-	( A44-107-8 ( A43-107 , - ) )
A44-108-12	A43-108	-	( A44-108-12 ( A43-108 , - ) )
A44-108-6	A43-108	-	( A44-108-6 ( A43-108 , - ) )
A44-1128-7	Dunfield	Linman_533	( A44-1128-7 ( Dunfield ( PI_36846 , - ) , Linman_533 ( Manchu ( PI_30593 , - ) , - ) ) )
A44-1715-32	Mandarin	Richland	( A44-1715-32 ( Mandarin ( PI_36653 , - ) , Richland ) )
A44-2015-3	Ontario	Richland	( A44-2015-3 ( Ontario , Richland ) )
