Individual	Parent1	Parent2	Pedigree
CM4022	5601T	PI_547879	( CM4022 ( 5601T ( Hutcheson , TN89-39 ( TN81-2 ( Lee_74 , Mitchell ( Amsoy , Wayne ) ) , TN80-69 ( Essex , J74-40 ) ) ) , PI_547879 ) )
CM53	Acme	L48-7289	( CM53 ( Acme ( Pagoda ( Manitoba_Brown , Mandarin ( PI_36653 , - ) ) , - ) , L48-7289 ( Seneca ( FC_03654 , - ) , Richland ) ) )
CM61	Acme	L48-7289	( CM61 ( Acme ( Pagoda ( Manitoba_Brown , Mandarin ( PI_36653 , - ) ) , - ) , L48-7289 ( Seneca ( FC_03654 , - ) , Richland ) ) )
CM79	Acme	L48-7289	( CM79 ( Acme ( Pagoda ( Manitoba_Brown , Mandarin ( PI_36653 , - ) ) , - ) , L48-7289 ( Seneca ( FC_03654 , - ) , Richland ) ) )
CM9	Acme	Monroe	( CM9 ( Acme ( Pagoda ( Manitoba_Brown , Mandarin ( PI_36653 , - ) ) , - ) , Monroe ) )
CN210	L70-2283	Beeson	( CN210 ( L70-2283 ( Custer , Chippewa ) , Beeson ) )
CN290	Beeson	L70-2283	( CN290 ( Beeson , L70-2283 ( Custer , Chippewa ) ) )
CR14-5524	LD04-13296	U03-300134	( CR14-5524 ( LD04-13296 ( Syngenta_S32-Z3 ( Exp_13404 , Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ) ) , U98-311442 ( A94-773014 ( Pioneer_P9303 , A87-395012 ( Fayette , Asgrow_A3659 ( Williams , Essex ) ) ) , Bell ) ) , U03-300134 ( NE32022 , NE2802 ) ) )
CR14-6116	LD06-7596	LS05-3229	( CR14-6116 ( LD06-7596 , LS05-3229 ) )
CR14-7814	LG05-4229	U03-300134	( CR14-7814 ( LG05-4229 ( LG94-1128 ( LG85-3343 ( PI_361064 , PI_407710 ) ( PI_361064 , PI_407710 ) , LG87-1991 ( PI_189930 , PI_68600 ) ) , LG98-5629 ( LG89-1501 ( PI_68508 , PI_384471 ) , LG89-773 ( LG85-3343 ( PI_361064 , PI_407710 ) , LG85-2846 ( PI_404157 , PI_384469A ) ) ) ) , U03-300134 ( NE32022 , NE2802 ) ) )
CR14-7871	LG06-5920	U03-100612	( CR14-7871 ( LG06-5920 ( LG00-3372 ( PI_561319 , PI_574477 ) , LD00-3309 ( Maverick ( LN86-4668 ( Fayette , Hardin ) , Resnik ) , Dwight ) ) , U03-100612 ( MSPB6S4 , Pioneer_P93B82 ) ) )
CR147814	LG05-4229	U03-300134	( CR147814 ( LG05-4229 ( LG94-1128 ( LG85-3343 ( PI_361064 , PI_407710 ) ( PI_361064 , PI_407710 ) , LG87-1991 ( PI_189930 , PI_68600 ) ) , LG98-5629 ( LG89-1501 ( PI_68508 , PI_384471 ) , LG89-773 ( LG85-3343 ( PI_361064 , PI_407710 ) , LG85-2846 ( PI_404157 , PI_384469A ) ) ) ) , U03-300134 ( NE32022 , NE2802 ) ) )
CR147839	LG05-4229	U03-300134	( CR147839 ( LG05-4229 ( LG94-1128 ( LG85-3343 ( PI_361064 , PI_407710 ) ( PI_361064 , PI_407710 ) , LG87-1991 ( PI_189930 , PI_68600 ) ) , LG98-5629 ( LG89-1501 ( PI_68508 , PI_384471 ) , LG89-773 ( LG85-3343 ( PI_361064 , PI_407710 ) , LG85-2846 ( PI_404157 , PI_384469A ) ) ) ) , U03-300134 ( NE32022 , NE2802 ) ) )
CR15-0558	LG05-4317	LG03-2979	( CR15-0558 ( LG05-4317 ( LG94-4667 ( PI_458511 , Flyer ) , LG98-1445 ( LG91-7431 ( LG84-1272 ( PI_227333 , PI_91730-1 ) , Elgin ) , Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ) ) ) , LG03-2979 ( Rend , LG95-258 ( LG86-3574 ( PI_424159_B , PI_407710 ) , LG88-2694 ( Ripley , PI_370059 ) ) ) ) )
CR15-0616	CL05-4637	AR08-286003	( CR15-0616 ( CL05-4637 ( CL0J173-6-8 ( Kottman , Dwight ) , LD00-3309 ( Maverick ( LN86-4668 ( Fayette , Hardin ) , Resnik ) , Dwight ) ) , AR08-286003 ( Agripro_98620-B01-51163_ , AR02-101001 ( Pioneer_P9233 , A96-591033 ( IA3003 , Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ) ) ) ) ) )
CR15-0619	CL05-4637	AR08-286003	( CR15-0619 ( CL05-4637 ( CL0J173-6-8 ( Kottman , Dwight ) , LD00-3309 ( Maverick ( LN86-4668 ( Fayette , Hardin ) , Resnik ) , Dwight ) ) , AR08-286003 ( Agripro_98620-B01-51163_ , AR02-101001 ( Pioneer_P9233 , A96-591033 ( IA3003 , Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ) ) ) ) ) )
CR15-0635	CL05-4637	AR08-286003	( CR15-0635 ( CL05-4637 ( CL0J173-6-8 ( Kottman , Dwight ) , LD00-3309 ( Maverick ( LN86-4668 ( Fayette , Hardin ) , Resnik ) , Dwight ) ) , AR08-286003 ( Agripro_98620-B01-51163_ , AR02-101001 ( Pioneer_P9233 , A96-591033 ( IA3003 , Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ) ) ) ) ) )
CR15-0636	CL05-4637	AR08-286003	( CR15-0636 ( CL05-4637 ( CL0J173-6-8 ( Kottman , Dwight ) , LD00-3309 ( Maverick ( LN86-4668 ( Fayette , Hardin ) , Resnik ) , Dwight ) ) , AR08-286003 ( Agripro_98620-B01-51163_ , AR02-101001 ( Pioneer_P9233 , A96-591033 ( IA3003 , Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ) ) ) ) ) )
CR15-0638	CL05-4637	AR08-286003	( CR15-0638 ( CL05-4637 ( CL0J173-6-8 ( Kottman , Dwight ) , LD00-3309 ( Maverick ( LN86-4668 ( Fayette , Hardin ) , Resnik ) , Dwight ) ) , AR08-286003 ( Agripro_98620-B01-51163_ , AR02-101001 ( Pioneer_P9233 , A96-591033 ( IA3003 , Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ) ) ) ) ) )
CR15-0899	PI556839	LD00-3309	( CR15-0899 ( PI556839 , LD00-3309 ( Maverick ( LN86-4668 ( Fayette , Hardin ) , Resnik ) , Dwight ) ) )
CR15-1369	4J10534	LD06-7620	( CR15-1369 ( 4J10534 , LD06-7620 ( IA3023 ( Dairyland_DSR365 , Pioneer_P9381 ) , LD00-3309_ ) ) )
CR15-1378	4J10534	LD06-7620	( CR15-1378 ( 4J10534 , LD06-7620 ( IA3023 ( Dairyland_DSR365 , Pioneer_P9381 ) , LD00-3309_ ) ) )
CR15-1382	4J10534	LD06-7620	( CR15-1382 ( 4J10534 , LD06-7620 ( IA3023 ( Dairyland_DSR365 , Pioneer_P9381 ) , LD00-3309_ ) ) )
CR15-1385	4J10534	LD06-7620	( CR15-1385 ( 4J10534 , LD06-7620 ( IA3023 ( Dairyland_DSR365 , Pioneer_P9381 ) , LD00-3309_ ) ) )
CR15-2189	CL05-3314	PI556875	( CR15-2189 ( CL05-3314 ( 98820-33 , 0J177-1-9 ) , PI556875 ) )
CR15-2225	CL05-51227	PI556840	( CR15-2225 ( CL05-51227 ( 0J173-6Mo , IA3025 ) , PI556840 ) )
CR15-2775	LS07-1343	PI_556909	( CR15-2775 ( LS07-1343 ( LN97-15076 ( Macon , Stressland ) , LD02-4485 ( M90-184111 ( L85P-558 ( L73-4673 ( Corsoy , L66L-154 ( Wayne , L57-0034 ( Clark , Adams ) ) ) , Fayette ) , M86-1973 ( M75-89 ( Corsoy , M68-303 ( M60-406 ( Blackhawk , Harosoy ) , Beeson ) ) , L77-906 ) ) , IA3010 ) ) , PI_556909 ) )
CR16-0008	CL04-13234	CL05-20252-2	( CR16-0008 ( CL04-13234 ( CL0J173-6-2_ , Syngenta_S18-N5_ ) , CL05-20252-2 ) )
CR16-0011	CL05-51227	KB10-22-1	( CR16-0011 ( CL05-51227 ( 0J173-6Mo , IA3025 ) , KB10-22-1 ) )
CR16-0014	CL05-51227	KB10-22-1	( CR16-0014 ( CL05-51227 ( 0J173-6Mo , IA3025 ) , KB10-22-1 ) )
CR16-0016	CL05-51227	KB10-22-1	( CR16-0016 ( CL05-51227 ( 0J173-6Mo , IA3025 ) , KB10-22-1 ) )
CR16-0020	CL05-51227	KB10-22-1	( CR16-0020 ( CL05-51227 ( 0J173-6Mo , IA3025 ) , KB10-22-1 ) )
CR16-0023	CL05-51227	KB10-22-1	( CR16-0023 ( CL05-51227 ( 0J173-6Mo , IA3025 ) , KB10-22-1 ) )
CR16-0024	CL05-51227	KB10-22-1	( CR16-0024 ( CL05-51227 ( 0J173-6Mo , IA3025 ) , KB10-22-1 ) )
CR16-0025	CL05-51227	KB10-22-1	( CR16-0025 ( CL05-51227 ( 0J173-6Mo , IA3025 ) , KB10-22-1 ) )
CR16-0027	CL05-51227	KB10-22-1	( CR16-0027 ( CL05-51227 ( 0J173-6Mo , IA3025 ) , KB10-22-1 ) )
CR16-0029	CL05-3314	KB10-22-1	( CR16-0029 ( CL05-3314 ( 98820-33 , 0J177-1-9 ) , KB10-22-1 ) )
CR16-0030	CL05-3314	KB10-22-1	( CR16-0030 ( CL05-3314 ( 98820-33 , 0J177-1-9 ) , KB10-22-1 ) )
CR16-0031	CL05-3314	KB10-22-1	( CR16-0031 ( CL05-3314 ( 98820-33 , 0J177-1-9 ) , KB10-22-1 ) )
CR16-0033	CL05-3314	KB10-22-1	( CR16-0033 ( CL05-3314 ( 98820-33 , 0J177-1-9 ) , KB10-22-1 ) )
CR16-0035	CL05-3314	KB10-22-1	( CR16-0035 ( CL05-3314 ( 98820-33 , 0J177-1-9 ) , KB10-22-1 ) )
CR16-0037	CL05-4637	KB10-22-1	( CR16-0037 ( CL05-4637 ( CL0J173-6-8 ( Kottman , Dwight ) , LD00-3309 ( Maverick ( LN86-4668 ( Fayette , Hardin ) , Resnik ) , Dwight ) ) , KB10-22-1 ) )
CR16-0042	LG05-4832	R05-4114-1	( CR16-0042 ( LG05-4832 ( LG98-5579 ( LG89-773 ( LG85-3343 ( PI_361064 , PI_407710 ) , LG85-2846 ( PI_404157 , PI_384469A ) ) , LG91-7323 ( BSR_101 , LG82-8379 ( PI_68508 , FC_04007B ) ) ) , A98-980047 ( HS93-4118 ( IA2007 ( Pride_B152 , A80-244003 ( Northrup_King_S1492 ( Corsoy , Wayne ) , Pella ) ) , Dairyland_DSR304 ( Williams , - ) ) , Northrup_King_S24-92 ) ) , R05-4114-1 ) )
CR16-0053	LG09-7341	LG09-8165	( CR16-0053 ( LG09-7341 , LG09-8165 ( PI_603571_A , LG00-6182 ( PI_561319_A , PI_574477 ) ) ) )
CR16-0058	LG09-7341	LG09-8165	( CR16-0058 ( LG09-7341 , LG09-8165 ( PI_603571_A , LG00-6182 ( PI_561319_A , PI_574477 ) ) ) )
CR16-0059	LG09-7341	LG09-8165	( CR16-0059 ( LG09-7341 , LG09-8165 ( PI_603571_A , LG00-6182 ( PI_561319_A , PI_574477 ) ) ) )
CR16-0067	LG09-7871	LG09-7256	( CR16-0067 ( LG09-7871 , LG09-7256 ) )
CR16-0070	LG09-7871	LG09-7256	( CR16-0070 ( LG09-7871 , LG09-7256 ) )
CR16-0076	LG09-8165	LG09-8091	( CR16-0076 ( LG09-8165 ( PI_603571_A , LG00-6182 ( PI_561319_A , PI_574477 ) ) , LG09-8091 ) )
CR16-0106	CL05-51227	KB10-22-1	( CR16-0106 ( CL05-51227 ( 0J173-6Mo , IA3025 ) , KB10-22-1 ) )
CR16-0107	CL05-51227	KB10-22-1	( CR16-0107 ( CL05-51227 ( 0J173-6Mo , IA3025 ) , KB10-22-1 ) )
CR16-0110	CL05-3314	KB10-22-1	( CR16-0110 ( CL05-3314 ( 98820-33 , 0J177-1-9 ) , KB10-22-1 ) )
CR16-0112	CL05-3314	KB10-22-1	( CR16-0112 ( CL05-3314 ( 98820-33 , 0J177-1-9 ) , KB10-22-1 ) )
CR16-0113	CL05-3314	KB10-22-1	( CR16-0113 ( CL05-3314 ( 98820-33 , 0J177-1-9 ) , KB10-22-1 ) )
CR16-0116	CL05-3314	KB10-22-1	( CR16-0116 ( CL05-3314 ( 98820-33 , 0J177-1-9 ) , KB10-22-1 ) )
CR16-0117	CL05-3314	KB10-22-1	( CR16-0117 ( CL05-3314 ( 98820-33 , 0J177-1-9 ) , KB10-22-1 ) )
CR16-0120	CL05-4637	KB10-22-2	( CR16-0120 ( CL05-4637 ( CL0J173-6-8 ( Kottman , Dwight ) , LD00-3309 ( Maverick ( LN86-4668 ( Fayette , Hardin ) , Resnik ) , Dwight ) ) , KB10-22-2 ) )
